,index,sm,smmax,dataset,directory,cell_id,channel
266,110,5,0.83426476,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6344,1
267,111,5,0.94743294,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6435,1
268,112,0,0.9981445,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6437,1
269,113,4,0.95661885,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6512,1
270,114,0,0.9815819,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6660,1
271,115,3,0.63968736,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6729,1
272,116,4,0.9310659,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6795,1
273,117,4,0.81219554,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,6879,1
274,118,0,0.99149585,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7097,1
275,119,5,0.88837594,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7098,1
276,120,6,0.91037625,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7284,1
277,121,4,0.9988373,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7367,1
278,122,5,0.4706786,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7583,1
279,123,0,0.9895018,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7594,1
280,124,5,0.91378766,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7603,1
281,125,4,0.9693878,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7732,1
282,126,0,0.9799731,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7760,1
283,127,0,0.9993666,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7790,1
284,128,0,0.99052,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7801,1
285,129,4,0.84416723,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7828,1
286,130,4,0.5531765,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7873,1
287,131,0,0.99352515,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,7906,1
288,132,4,0.9945015,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,8035,1
289,133,5,0.6066609,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,8326,1
290,134,4,0.7117527,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,8331,1
291,135,0,0.9996458,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,8465,1
292,136,0,0.9742474,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,8522,1
293,137,0,0.4941851,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,8552,1
294,138,5,0.9522082,phago_only_PhagoOnly_R5.mm,PhagoOnly_R5,8554,1
